Mountains and Rocks,1950-1960,landscape,NLW,nlw_nlw_kwf00008_large.jpeg
Mountains Snowdonia,1950-1960,landscape,NLW,nlw_nlw_kwf00323_large.jpeg
"Range of Mountains, Snowdonia",1950-1960,landscape,NLW,nlw_nlw_kwf00034_large.jpeg
Storm,1950-1960,landscape,NLW,nlw_nlw_kwf00122_large.jpeg
Yellow fields under a grey sky,1950-1960,landscape,NLW,nlw_nlw_kwf00128_large.jpeg
Yr Wyddfa a Grib Goch,1950-1960,landscape,NLW,nlw_nlw_kwf00129_large.jpeg
"Cottages, North Wales",1950-1970,landscape,NLW,nlw_nlw_kwf00007_large.jpeg
"Dark Mountains, Blue Sky",1950-1970,landscape,NLW,nlw_nlw_kwf00152_large.jpeg
"Giudecca, Venice",1950-1970,landscape,NLW,nlw_nlw_kwf00448_large.jpeg
Green Mountain Landscape,1950-1970,landscape,NLW,nlw_nlw_kwf00111_large.jpeg
Green Trees and Fields Beneath a Dark Mountain,1950-1970,landscape,NLW,nlw_nlw_kwf00137_large.jpeg
"Mountains, North Wales",1950-1970,landscape,NLW,nlw_nlw_kwf00447_large.jpeg
"Snow and Cloud, Snowdonia",1950-1970,landscape,NLW,nlw_nlw_kwf00138_large.jpeg
Snowdon Range,1950-1970,landscape,NLW,nlw_nlw_kwf00004_large.jpeg
Tryfan,1950-1970,landscape,NLW,nlw_nlw_kwf00109_large.jpeg
Cloud on Foel Goch,1960-1961,landscape,NLW,nlw_nlw_kwf00145_large.jpeg
Chapel with a Mountain Behind,1960-1970,landscape,NLW,nlw_nlw_kwf00398_large.jpeg
Cnicht,1960-1970,landscape,NLW,nlw_nlw_kwf00317_large.jpeg
"Cottages, Snowdonia",1960-1970,landscape,NLW,nlw_nlw_kwf00084_large.jpeg
Eryri,1960-1970,landscape,NLW,nlw_nlw_kwf00120_large.jpeg
Farm Buildings,1960-1970,landscape,NLW,nlw_nlw_kwf00110_large.jpeg
Farmhouse on the horizon in rugged ground,1960-1970,landscape,NLW,nlw_nlw_kwf00146_large.jpeg
Hillside Cottages,1960-1970,landscape,NLW,nlw_nlw_kwf00315_large.jpeg
Hillside with Trees on the Horizon,1960-1970,landscape,NLW,nlw_nlw_kwf00329_large.jpeg
Mist on the Mountains,1960-1970,landscape,NLW,nlw_nlw_kwf00059_large.jpeg
Moelwyn Bach from Tanygrisiau,1960-1970,landscape,NLW,nlw_nlw_kwf00124_large.jpeg
Mountain Summit with low cloud,1960-1970,landscape,NLW,nlw_nlw_kwf00063_large.jpeg
"Mountain Summits, Snowdonia",1960-1970,landscape,NLW,nlw_nlw_kwf00052_large.jpeg
Nant Ffrancon,1960-1970,landscape,NLW,nlw_nlw_kwf00098_large.jpeg
Ponies at Dusk,1960-1970,landscape,NLW,nlw_nlw_kwf00032_large.jpeg
Rhosybol,1960-1970,landscape,NLW,nlw_nlw_kwf00095_large.jpeg
Rocamdour,1960-1970,landscape,NLW,nlw_nlw_kwf00082_large.jpeg
"Snow on the Mountains, Eryri",1960-1970,landscape,NLW,nlw_nlw_kwf00070_large.jpeg
Snowdon from Gelli Iago,1960-1970,landscape,NLW,nlw_nlw_kwf00097_large.jpeg
Snowdon from Ty Obry,1960-1970,landscape,NLW,nlw_nlw_gcf04927_large.jpeg
Storm Clouds over the Mountains,1960-1970,landscape,NLW,nlw_nlw_kwf00147_large.jpeg
"Welsh Blacks, Llanddona",1960-1970,landscape,NLW,nlw_nlw_kwf00101_large.jpeg
Welsh Pony Grazing at the Coast,1960-1970,landscape,NLW,nlw_nlw_kwf00057_large.jpeg
Autumn Sunset,1960-1980,landscape,NLW,nlw_nlw_kwf00060_large.jpeg
"Col des Aravis, Haute Savoie",1960-1980,landscape,NLW,nlw_nlw_kwf00005_large.jpeg
"Cottages, Eryri",1960-1980,landscape,NLW,nlw_nlw_kwf00132_large.jpeg
"Cottages, Eryri",1960-1980,landscape,NLW,nlw_nlw_kwf00132_large.jpeg
"Cottages, Eryri",1960-1980,landscape,NLW,nlw_nlw_kwf00316_large.jpeg
Mountain Landscape with Trees and a Field in the Foreground,1960-1980,landscape,NLW,nlw_nlw_kwf00035_large.jpeg
"Mountains, Snowdonia",1960-1980,landscape,NLW,nlw_nlw_kwf00130_large.jpeg
Near Capel Curig,1960-1980,landscape,NLW,nlw_nlw_kwf00029_large.jpeg
Penmon Coast and Ynys Seiriol,1960-1980,landscape,NLW,nlw_nlw_kwf00030_large.jpeg
Towards the Mountains,1960-1980,landscape,NLW,nlw_nlw_kwf00320_large.jpeg
Tryfan,1960-1980,landscape,NLW,nlw_nlw_kwf00135_large.jpeg
Mountain Landscape with High Sun,1970-1980,landscape,NLW,nlw_nlw_kwf00090_large.jpeg
Pentrepella,1970-1980,landscape,NLW,nlw_nlw_gcf04965_large.jpeg
Blue Sky with Brown Hill,1970-1990,landscape,NLW,nlw_nlw_kwf00031_large.jpeg
Bryn yr Hen Bobl,1970-1990,landscape,NLW,nlw_nlw_kwf00089_large.jpeg
Cloud on the Mountains,1970-1990,landscape,NLW,nlw_nlw_kwf00328_large.jpeg
Cloud over Crib Coch,1970-1990,landscape,NLW,nlw_nlw_kwf00150_large.jpeg
Craggs and Trees,1970-1990,landscape,NLW,nlw_nlw_kwf00131_large.jpeg
Crib Goch with a Blue Sky,1970-1990,landscape,NLW,nlw_nlw_kwf00083_large.jpeg
Cwm Hetiau,1970-1990,landscape,NLW,nlw_nlw_kwf00149_large.jpeg
"Dark Mountains, Eryri",1970-1990,landscape,NLW,nlw_nlw_kwf00314_large.jpeg
"Farm Building, Eryri",1970-1990,landscape,NLW,nlw_nlw_kwf00051_large.jpeg
Farmer at Dusk,1970-1990,landscape,NLW,nlw_nlw_kwf00127_large.jpeg
Grey Cloud and Sun over the Mountains,1970-1990,landscape,NLW,nlw_nlw_kwf00003_large.jpeg
"Lowlight, Eryri",1970-1990,landscape,NLW,nlw_nlw_kwf00091_large.jpeg
"Meadows, Mist and Mountains",1970-1990,landscape,NLW,nlw_nlw_kwf00033_large.jpeg
Mountain Stream with Trees,1970-1990,landscape,NLW,nlw_nlw_kwf00044_large.jpeg
Mountains with Blue Sky,1970-1990,landscape,NLW,nlw_nlw_kwf00056_large.jpeg
"Mountains, Eryri, with Cloud",1970-1990,landscape,NLW,nlw_nlw_kwf00139_large.jpeg
"Mountains, Eryri, with Cloud",1970-1990,landscape,NLW,nlw_nlw_kwf00139_large.jpeg
Mynydd Mawr a'r Wyddfa,1970-1990,landscape,NLW,nlw_nlw_kwf00148_large.jpeg
Path beneath Crib Goch,1970-1990,landscape,NLW,nlw_nlw_kwf00076_large.jpeg
Road to the Farm,1970-1990,landscape,NLW,nlw_nlw_kwf00036_large.jpeg
Rugged Mountains with Low Cloud,1970-1990,landscape,NLW,nlw_nlw_kwf00134_large.jpeg
Snowdonian Summits,1970-1990,landscape,NLW,nlw_nlw_kwf00045_large.jpeg
"Summer, Snowdonia",1970-1990,landscape,NLW,nlw_nlw_kwf00067_large.jpeg
The Path from the Shore,1970-1990,landscape,NLW,nlw_nlw_kwf00055_large.jpeg
Traeth Coch,1970-1990,landscape,NLW,nlw_nlw_kwf00114_large.jpeg
Alpine Mountains/Y Grib Goch,1990-2006,landscape,NLW,nlw_nlw_kwf00081_large.jpeg
Cottage in the Fields,1990-2006,landscape,NLW,nlw_nlw_kwf00079_large.jpeg
Gyrn Las,1990-2006,landscape,NLW,nlw_nlw_kwf00048_large.jpeg
Lone Cottage,1990-2006,landscape,NLW,nlw_nlw_kwf00075_large.jpeg
Moonlight above Gwynant,1990-2006,landscape,NLW,nlw_nlw_kwf00105_large.jpeg
