"Williams, Kyffin","Lle Cul, Patagonia",1969,landscape,NLW,Patagonia,,,122,92,11224,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf00136_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/lle-cul-patagonia-120055,nlw_nlw_gcf00136_large.jpg,
"Williams, Kyffin","Lle Cul, Patagonia",1969,landscape,NLW,Lle Cul,,,60,49.9,2994,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf05256_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/lle-cul-patagonia-121262,nlw_nlw_gcf05256_large.jpg,
"Williams, Kyffin","Lle Cul, Patagonia",1969,landscape,NLW,Lle Cul,,,60,49.5,2970,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf05255_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/lle-cul-patagonia-121261,nlw_nlw_gcf05255_large.jpg,
"Williams, Kyffin","Lle Cul, Patagonia",1969,landscape,NLW,Lle Cul,,,89.5,89.5,8010.25,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf00016_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/lle-cul-patagonia-119976,nlw_nlw_gcf00016_large.jpg,
"Williams, Kyffin","Paith, Patagonia",1969,landscape,NLW,Paith,,,68.7,51,3503.7,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00325_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/paith-patagonia-120580,nlw_nlw_kwf00325_large.jpg,
"Williams, Kyffin",Patagonian Landscape,1969,landscape,NLW,Patagonia,,,65,65,4225,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00103_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/patagonian-landscape-120506,nlw_nlw_kwf00103_large.jpg,
"Williams, Kyffin",The New Road to the Valley,1969,landscape,NLW,Patagonia,,,91,91.5,8326.5,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf07221_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/the-new-road-to-the-valley-121320,nlw_nlw_gcf07221_large.jpg,
"Williams, Kyffin",Ceserea,1970,landscape,NLW,Ceserea,,,99.5,47.1,4686.45,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00442_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/ceserea-120474,nlw_nlw_kwf00442_large.jpg,
"Williams, Kyffin",Ffridd Llwyn Gorful,1970,landscape,NLW,Llwyn Gorful,,,88,62,5456,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf00134_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/ffridd-llwyn-gorful-120053,nlw_nlw_gcf00134_large.jpg,
"Williams, Kyffin",Welsh Landscape,1970,landscape,NLW,unknown,unknown,unknown,68.5,50.5,3459.25,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf02285_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/welsh-landscape-121030,nlw_nlw_gcf02285_large.jpg,
"Williams, Kyffin","Farm, Llanfairynghornwy",1975,landscape,NLW,Llanfairynghornwy,,,49.9,39.5,1971.05,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf02283_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/farm-llanfairynghornwy-120766,nlw_nlw_gcf02283_large.jpg,
"Williams, Kyffin",Farm Eryri,1980,landscape,NLW,Eryri,,,50.8,61.3,3114.04,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00006_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/farm-eryri-120482,nlw_nlw_kwf00006_large.jpg,
"Williams, Kyffin",Farm near Nanhoron,1980,landscape,NLW,Nanhoron,,,76.3,60.7,4631.41,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00069_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/farm-near-nanhoron-120538,nlw_nlw_kwf00069_large.jpg,
"Williams, Kyffin","Green Fields and Grey Mountains, Snowdonia",1980,landscape,NLW,Snowdonia,,,76.3,76.3,5821.69,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00092_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/green-fields-and-grey-mountains-snowdonia-120546,nlw_nlw_kwf00092_large.jpg,
